,Brand_n_Model,Variant,Year,Kilometers,No_of_owners,Fuel,Price
922,Ford Endeavour 3.0L 4X4 AT,3.0L 4X4 AT,2011,"1,32,000 kms",First Owner,Diesel,7.35 Lakh*
923,Hyundai Grand i10 Sportz,Sportz,2015,"83,500 kms",Second Owner,Petrol,3.6 Lakh*
924,Mercedes-Benz A Class A180 CDI,A180 CDI,2014,"48,000 kms",First Owner,Diesel,14.5 Lakh*
925,Hyundai Creta 1.6 VTVT AT SX Plus,1.6 VTVT AT SX Plus,2019,"22,000 kms",First Owner,Petrol,13.75 Lakh*
926,Maruti Swift Dzire ZDI,ZDI,2017,"2,30,000 kms",Second Owner,Diesel,6.05 Lakh*
927,Toyota Fortuner 4x4 MT,4x4 MT,2012,"1,14,354 kms",Second Owner,Diesel,13.7 Lakh*
928,Hyundai i10 Magna 1.1L,Magna 1.1L,2016,"11,000 kms",First Owner,Petrol,4.25 Lakh*
929,Hyundai i10 Sportz,Sportz,2010,"19,000 kms",Second Owner,Petrol,3 Lakh*
930,Mahindra KUV 100 mFALCON D75 K8,mFALCON D75 K8,2016,"79,600 kms",Second Owner,Diesel,3.3 Lakh*
931,Maruti Swift VDI,VDI,2012,"1,14,000 kms",First Owner,Diesel,4.25 Lakh*
932,Maruti Swift VDI,VDI,2013,"45,000 kms",Second Owner,Diesel,4.6 Lakh*
933,Hyundai Verna VTVT 1.6 SX,VTVT 1.6 SX,2017,"26,000 kms",First Owner,Petrol,8.75 Lakh*
934,Honda City V AT,V AT,2013,"47,000 kms",Second Owner,Petrol,5.5 Lakh*
935,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2015,"39,600 kms",First Owner,Petrol,5.4 Lakh*
936,Ford EcoSport 1.0 Ecoboost Platinum Edition BSIV,1.0 Ecoboost Platinum Edition BSIV,2017,"17,470 kms",First Owner,Petrol,7.8 Lakh*
937,Hyundai Grand i10 1.2 Kappa Asta,1.2 Kappa Asta,2014,"75,571 kms",First Owner,Petrol,4.5 Lakh*
938,Jeep Compass 2.0 Limited,2.0 Limited,2017,"58,000 kms",First Owner,Diesel,14.5 Lakh*
939,Hyundai Verna 1.4 CRDi,1.4 CRDi,2014,"59,475 kms",Second Owner,Diesel,4.6 Lakh*
940,Chevrolet Beat LS,LS,2015,"19,000 kms",First Owner,Petrol,3.2 Lakh*
941,Hyundai Santro Xing XO eRLX Euro II,XO eRLX Euro II,2004,"68,000 kms",Second Owner,Petrol,1 Lakh*
942,Honda Jazz 1.2 V i VTEC,1.2 V i VTEC,2018,"9,560 kms",First Owner,Petrol,7 Lakh*
943,Maruti Wagon R VXI,VXI,2010,"77,000 kms",First Owner,Petrol,2.75 Lakh*
944,Renault KWID 1.0 RXL,1.0 RXL,2017,"14,000 kms",First Owner,Petrol,3.45 Lakh*
945,BMW 3 Series 320d GT Luxury Line,320d GT Luxury Line,2015,"55,000 kms",First Owner,Diesel,25.5 Lakh*
946,Maruti Swift VXI,VXI,2015,"41,892 kms",First Owner,Petrol,5.3 Lakh*
947,Hyundai i20 Sportz AT 1.4,Sportz AT 1.4,2013,"30,317 kms",First Owner,Petrol,4 Lakh*
948,Tata Safari Storme VX,VX,2013,"85,000 kms",Second Owner,Diesel,4.9 Lakh*
949,Honda Amaze S i-VTEC,S i-VTEC,2017,"40,000 kms",Second Owner,Petrol,5.15 Lakh*
950,Mahindra XUV500 2011-2015 W8 FWD,W8 FWD,2015,"54,500 kms",First Owner,Diesel,9.5 Lakh*
951,Honda Civic VX,VX,2019,"4,650 kms",First Owner,Petrol,17.5 Lakh*
952,Tata Tiago 1.2 Revotron XZ Plus Dual Tone,1.2 Revotron XZ Plus Dual Tone,2019,"20,000 kms",First Owner,Petrol,5.75 Lakh*
953,Toyota Fortuner 3.0 Diesel,3.0 Diesel,2011,"1,59,000 kms",Third Owner,Diesel,10.85 Lakh*
954,Volkswagen Polo 1.2 MPI Comfortline,1.2 MPI Comfortline,2016,"60,000 kms",First Owner,Petrol,5.5 Lakh*
955,Mahindra XUV500 W8 2WD,W8 2WD,2012,"80,000 kms",Second Owner,Diesel,7.2 Lakh*
956,Hyundai Creta 1.6 CRDi SX,1.6 CRDi SX,2018,"33,000 kms",First Owner,Diesel,13 Lakh*
957,Mahindra Bolero Power Plus ZLX,ZLX,2018,"35,000 kms",First Owner,Diesel,8 Lakh*
958,Maruti Swift Dzire ZXI,ZXI,2015,"45,200 kms",First Owner,Petrol,5.1 Lakh*
959,Hyundai i20 Magna 1.2,Magna 1.2,2016,"25,000 kms",First Owner,Petrol,5.45 Lakh*
960,BMW X6 xDrive30d,xDrive30d,2012,"1,10,000 kms",Second Owner,Diesel,25 Lakh*
961,Toyota Etios V,V,2011,"22,000 kms",First Owner,Petrol,4.4 Lakh*
962,Tata Nano LX,LX,2012,"34,251 kms",First Owner,Petrol,1.3 Lakh*
963,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,2.8 4WD AT BSIV,2017,"36,000 kms",First Owner,Diesel,30 Lakh*
964,BMW 3 Series 320d,320d,2011,"80,000 kms",Second Owner,Diesel,10.5 Lakh*
965,Toyota Corolla Altis 1.8 VL AT,1.8 VL AT,2010,"1,00,000 kms",First Owner,Petrol,4.6 Lakh*
966,Ford Ecosport 1.5 Ti VCT AT Titanium,1.5 Ti VCT AT Titanium,2014,"44,000 kms",First Owner,Petrol,6.35 Lakh*
967,Tata Indica Vista Aura 1.3 Quadrajet,Aura 1.3 Quadrajet,2010,"90,077 kms",First Owner,Diesel,2.4 Lakh*
968,Nissan Magnite XV Premium,XV Premium,2021,"3,000 kms",First Owner,Petrol,8.25 Lakh*
969,Maruti Alto K10 VXI AGS,VXI AMT,2014,"24,000 kms",Second Owner,Petrol,3 Lakh*
970,Maruti Swift VXI,VXI,2010,"78,337 kms",Second Owner,Petrol,3 Lakh*
971,Volkswagen Vento Petrol Highline,Petrol Highline,2010,"91,000 kms",Second Owner,Petrol,3.5 Lakh*
972,Maruti Alto K10 VXI,VXI,2017,"20,000 kms",First Owner,Petrol,3.85 Lakh*
973,Hyundai i10 Sportz AT,Sportz AT,2011,"41,000 kms",First Owner,Petrol,3.6 Lakh*
974,Hyundai i10 Era,Era,2012,"42,000 kms",First Owner,Petrol,2.95 Lakh*
975,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,1.5 Diesel Titanium Plus BSIV,2017,"42,500 kms",Second Owner,Diesel,7 Lakh*
976,Honda Amaze S i-Vtech,S i-Vtech,2015,"70,000 kms",First Owner,Petrol,4.35 Lakh*
977,Mahindra Bolero 2011-2019 ZLX BSIII,ZLX BSIII,2012,"72,000 kms",First Owner,Diesel,4.8 Lakh*
978,MG Hector Sharp Diesel MT,Sharp Diesel MT,2021,"4,500 kms",First Owner,Diesel,20.75 Lakh*
979,Hyundai Verna Xi (Petrol),Xi (Petrol),2007,"1,83,525 kms",First Owner,Petrol,1.99 Lakh*
980,Maruti Ritz VXI,VXI,2010,"15,000 kms",First Owner,Petrol,2.9 Lakh*
981,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2013,"23,800 kms",First Owner,Petrol,2.75 Lakh*
982,Mini Cooper S,S,2013,"44,501 kms",Second Owner,Petrol,19 Lakh*
983,BMW 7 Series 730Ld,730Ld,2016,"40,000 kms",First Owner,Diesel,65 Lakh*
984,Hyundai EON Era Plus,Era Plus,2012,"16,000 kms",First Owner,Petrol,2.4 Lakh*
985,Hyundai i20 Active 1.4 SX with AVN,1.4 SX with AVN,2015,"50,000 kms",First Owner,Diesel,6.1 Lakh*
986,Toyota Corolla H2,H2,2004,"1,15,000 kms",First Owner,Petrol,2.25 Lakh*
987,Skoda Superb Elegance 2.0 TDI CR AT,Elegance 2.0 TDI CR AT,2014,"1,02,000 kms",First Owner,Diesel,10.5 Lakh*
988,Hyundai i20 1.2 Spotz,1.2 Spotz,2017,"30,000 kms",First Owner,Petrol,6.1 Lakh*
989,Tata Nano Twist XT,Twist XT,2014,"25,000 kms",Second Owner,Petrol,1.65 Lakh*
990,Ford EcoSport S Diesel BSIV,S Diesel BSIV,2018,"30,000 kms",First Owner,Diesel,9.75 Lakh*
991,Maruti Vitara Brezza ZDi Plus Dual Tone,ZDi Plus Dual Tone,2019,"14,000 kms",First Owner,Diesel,11.5 Lakh*
992,Ford Figo Petrol ZXI,Petrol ZXI,2010,"65,231 kms",First Owner,Petrol,2.65 Lakh*
993,Hyundai i20 Diesel Asta Option,Diesel Asta Option,2017,"80,000 kms",Second Owner,Diesel,5.6 Lakh*
994,Ford EcoSport Signature Edition Diesel BSIV,Signature Edition Diesel BSIV,2018,"31,000 kms",First Owner,Diesel,9.95 Lakh*
995,Tata Tiago 1.05 Revotorq XM,1.05 Revotorq XM,2017,"69,200 kms",First Owner,Diesel,4.25 Lakh*
996,Maruti Celerio X AMT ZXI Option BSIV,AMT ZXI Option BSIV,2018,"30,000 kms",First Owner,Petrol,5.35 Lakh*
997,Hyundai EON 1.0 Era Plus,1.0 Era Plus,2018,"63,500 kms",First Owner,Petrol,3.5 Lakh*
998,Honda CR-V 2.4L 4WD AT,2.4L 4WD AT,2010,"85,000 kms",Second Owner,Petrol,6.7 Lakh*
999,Mahindra TUV 300 T10 Dual Tone,T10 Dual Tone,2018,"35,000 kms",First Owner,Diesel,9.65 Lakh*
1000,Maruti Swift Dzire VXI,VXI,2016,"46,200 kms",First Owner,Petrol,5.75 Lakh*
1001,Hyundai i20 Active SX Diesel,SX Diesel,2017,"34,000 kms",First Owner,Diesel,7.75 Lakh*
1002,Honda Amaze VX AT i-Vtech,VX AT i-Vtech,2013,"77,242 kms",First Owner,Petrol,4 Lakh*
1003,Hyundai Grand i10 AT Sportz,AT Sportz,2014,"40,169 kms",First Owner,Petrol,4.5 Lakh*
1004,Hyundai Grand i10 Magna,Magna,2014,"40,000 kms",First Owner,Petrol,3.9 Lakh*
1005,Renault Pulse Petrol RxZ,Petrol RxZ,2012,"98,000 kms",Second Owner,Petrol,3.1 Lakh*
1006,Maruti Ertiga VDI,VDI,2012,"1,15,000 kms",First Owner,Diesel,5.65 Lakh*
1007,Hyundai Grand i10 1.2 Kappa Asta,1.2 Kappa Asta,2012,"71,561 kms",First Owner,Petrol,3.4 Lakh*
1008,Ford Figo 1.5D Titanium MT,1.5D Titanium MT,2010,"83,851 kms",First Owner,Diesel,2.5 Lakh*
1009,Maruti Celerio VXI,VXI,2015,"52,730 kms",First Owner,Petrol,3.7 Lakh*
1010,Ford Endeavour 3.2 Trend AT 4X4,3.2 Trend AT 4X4,2017,"41,000 kms",First Owner,Diesel,25.9 Lakh*
1011,Toyota Innova Crysta 2016-2020 2.8 AT Touring Sport BSIV,2.8 AT Touring Sport BSIV,2017,"81,000 kms",First Owner,Diesel,20 Lakh*
1012,Nissan Terrano XE 85 PS,XE 85 PS,2014,"54,000 kms",First Owner,Diesel,5.9 Lakh*
1013,Audi A6 2.8 FSI,2.8 FSI,2011,"33,000 kms",First Owner,Petrol,16.5 Lakh*
1014,Maruti Eeco 5 Seater AC BSIV,5 Seater AC BSIV,2014,"64,000 kms",First Owner,Petrol,3.65 Lakh*
1015,Ford Ecosport 1.5 DV5 MT Trend,1.5 DV5 MT Trend,2013,"80,000 kms",First Owner,Diesel,4.5 Lakh*
1016,Maruti Ertiga ZXI,ZXI,2015,"40,000 kms",First Owner,Petrol,6.5 Lakh*
1017,Toyota Innova 2.5 G (Diesel) 7 Seater,2.5 G (Diesel) 7 Seater BS IV,2012,"2,00,000 kms",First Owner,Diesel,9.45 Lakh*
1018,Hyundai i10 Era,Era,2012,"64,900 kms",First Owner,Petrol,2.85 Lakh*
1019,Skoda Rapid 1.5 TDI Elegance,1.5 TDI Elegance,2014,"50,000 kms",First Owner,Diesel,5.75 Lakh*
1020,Volvo S60 D4 KINETIC,D4 KINETIC,2015,"1,35,000 kms",First Owner,Diesel,14 Lakh*
1021,Maruti Alto LXi,LXi,2006,"80,000 kms",Second Owner,Petrol,1.45 Lakh*
1022,Honda City i DTEC VX,i DTEC VX,2015,"74,000 kms",First Owner,Diesel,8.5 Lakh*
1023,Maruti Wagon R VXI,VXI,2020,"16,000 kms",First Owner,Petrol,5.2 Lakh*
1024,Hyundai i20 Asta (o),Asta (o),2009,"85,000 kms",Second Owner,Petrol,3.5 Lakh*
1025,Maruti Celerio ZXI AMT Optional,ZXI AMT Optional,2019,"22,000 kms",First Owner,Petrol,5.25 Lakh*
1026,Hyundai Creta 1.6 CRDi SX Plus,1.6 CRDi SX Plus,2017,"66,000 kms",First Owner,Diesel,11.5 Lakh*
1027,Land Rover Discovery Sport TD4 HSE 7S,TD4 HSE 7S,2016,"45,000 kms",First Owner,Diesel,36 Lakh*
1028,Hyundai i10 Sportz,Sportz,2011,"50,000 kms",First Owner,Petrol,3.35 Lakh*
1029,Toyota Camry 2.5 G,2.5 G,2016,"77,215 kms",First Owner,Petrol,14 Lakh*
1030,Hyundai Grand i10 Sportz,Sportz,2014,"45,728 kms",First Owner,Petrol,4.3 Lakh*
1031,Ford Endeavour 2.5L 4X2 MT,2.5L 4X2 MT,2015,"1,00,000 kms",Second Owner,Diesel,9.75 Lakh*
1032,Volvo S 80 D5,D5,2010,"90,000 kms",Second Owner,Diesel,8 Lakh*
1033,Hyundai i10 Asta,Asta,2011,"49,855 kms",Second Owner,Petrol,3 Lakh*
1034,Audi Q3 2.0 TDI Quattro Premium Plus,2.0 TDI Quattro Premium Plus,2014,"69,000 kms",Second Owner,Diesel,16.25 Lakh*
1035,Hyundai i20 1.2 Asta,1.2 Asta,2017,"45,600 kms",First Owner,Petrol,6.5 Lakh*
1036,Ford Ecosport 1.5 DV5 MT Ambiente,1.5 DV5 MT Ambiente,2014,"66,000 kms",First Owner,Diesel,5.6 Lakh*
1037,Toyota Innova Crysta 2.4 ZX 7 STR,2.4 ZX 7 STR,2020,"6,500 kms",First Owner,Diesel,26.25 Lakh*
1038,Skoda Rapid Monte Carlo 1.6 MPI BSIV,Monte Carlo 1.6 MPI BSIV,2019,"10,000 kms",First Owner,Petrol,11.75 Lakh*
1039,Honda BRV i-VTEC V CVT,i-VTEC V CVT,2018,"23,000 kms",First Owner,Petrol,10.25 Lakh*
1040,Volkswagen Polo 2015-2019 1.2 MPI Highline,1.2 MPI Highline,2016,"48,000 kms",First Owner,Petrol,6 Lakh*
1041,Datsun GO T BSIV,T BSIV,2014,"22,000 kms",First Owner,Petrol,3.25 Lakh*
1042,Mahindra TUV 300 T8,T8,2017,"40,000 kms",First Owner,Diesel,8.5 Lakh*
1043,Skoda Octavia Style Plus 1.8 TSI AT,Style Plus 1.8 TSI AT,2016,"25,300 kms",First Owner,Petrol,14 Lakh*
1044,BMW 7 Series 730Ld,730Ld,2008,"80,000 kms",First Owner,Diesel,12.5 Lakh*
1045,Honda Civic 1.8 MT Sport,1.8 MT Sport,2007,"30,000 kms",Second Owner,Petrol,3.1 Lakh*
1046,Hyundai Verna 1.6 SX,1.6 SX,2013,"80,000 kms",Second Owner,Diesel,4.9 Lakh*
1047,BMW 5 Series 520d Sedan,520d Sedan,2012,"85,000 kms",First Owner,Diesel,15.5 Lakh*
1048,BMW 5 Series 525d Luxury Line,525d Luxury Line,2013,"59,000 kms",Second Owner,Diesel,18.5 Lakh*
1049,Honda City i VTEC CVT VX,i VTEC CVT VX,2016,"45,000 kms",First Owner,Petrol,8.9 Lakh*
1050,Mahindra TUV 300 T8 AMT,T8 AMT,2016,"66,000 kms",First Owner,Diesel,7.95 Lakh*
1051,Hyundai Verna CRDi 1.6 SX Option,CRDi 1.6 SX Option,2019,"35,000 kms",First Owner,Diesel,12.5 Lakh*
1052,Tata Nano Cx BSIII,Cx BSIII,2011,"50,000 kms",Second Owner,Petrol,"80,000*"
1053,Chevrolet Spark 1.0 LS,1.0 LS,2008,"1,24,365 kms",Second Owner,Petrol,1.2 Lakh*
1054,Skoda Fabia 1.4 TDI Classic,1.4 TDI Classic,2008,"1,07,068 kms",Second Owner,Diesel,1.8 Lakh*
1055,Hyundai Grand i10 AT Asta,AT Asta,2015,"59,000 kms",First Owner,Petrol,5.35 Lakh*
1056,Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,VLX 2WD AIRBAG AT BSIV,2013,"1,50,000 kms",Second Owner,Diesel,6.6 Lakh*
1057,Hyundai Verna VTVT 1.6 SX Option,VTVT 1.6 SX Option,2019,"5,000 kms",First Owner,Petrol,11.9 Lakh*
1058,Hyundai Creta 1.6 VTVT AT SX Plus,1.6 VTVT AT SX Plus,2017,"56,000 kms",First Owner,Petrol,11.65 Lakh*
1059,Maruti Alto K10 LXI,LXI,2013,"60,000 kms",First Owner,Petrol,2.75 Lakh*
1060,Hyundai Creta 1.6 CRDi SX,1.6 CRDi SX,2016,"57,900 kms",First Owner,Diesel,9.75 Lakh*
1061,Maruti Swift Vdi BSIII,Vdi BSIII,2008,"1,00,200 kms",Second Owner,Diesel,2.74 Lakh*
1062,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2014,"87,200 kms",Second Owner,Diesel,4.59 Lakh*
1063,Volkswagen Polo 1.0 MPI Highline Plus BSIV,1.0 MPI Highline Plus BSIV,2019,"35,000 kms",First Owner,Petrol,7.25 Lakh*
1064,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2014,"56,000 kms",First Owner,Diesel,5.4 Lakh*
1065,Renault Duster 85PS Diesel RxL Option,85PS Diesel RxL Option,2013,"58,000 kms",Second Owner,Diesel,4.5 Lakh*
1066,Hyundai EON D Lite Plus,D Lite Plus,2012,"15,000 kms",First Owner,Petrol,2.6 Lakh*
1067,BMW X1 sDrive20d xLine,sDrive20d xLine,2017,"30,000 kms",Second Owner,Diesel,22.55 Lakh*
1068,Honda WR-V i-VTEC VX,i-VTEC VX,2017,"45,000 kms",First Owner,Petrol,8 Lakh*
1069,Hyundai Grand i10 AT Asta,AT Asta,2015,"60,000 kms",First Owner,Petrol,4.5 Lakh*
1070,Hyundai i20 Sportz Plus,Sportz Plus,2020,"7,000 kms",First Owner,Petrol,7.85 Lakh*
1071,Volkswagen Polo 1.2 MPI Highline,1.2 MPI Highline,2014,"42,000 kms",First Owner,Petrol,5.25 Lakh*
1072,Maruti Esteem Lxi - BSIII,Lxi - BSIII,2005,"50,000 kms",First Owner,Petrol,1.5 Lakh*
1073,Hyundai Santro Asta BSIV,Asta BSIV,2018,"11,000 kms",First Owner,Petrol,5 Lakh*
1074,Maruti Baleno Alpha Automatic,1.2 CVT Alpha,2018,"10,000 kms",First Owner,Petrol,8.1 Lakh*
1075,Maruti Ciaz Alpha Automatic BSIV,Alpha Automatic BSIV,2018,"35,000 kms",First Owner,Petrol,8.9 Lakh*
1076,Mitsubishi Pajero Sport Select Plus 4X4 MT,Select Plus 4X4 MT,2014,"97,000 kms",First Owner,Diesel,13.95 Lakh*
1077,Skoda Rapid 1.6 TDI Ambition Plus,1.6 TDI Ambition Plus,2012,"99,580 kms",First Owner,Diesel,3.7 Lakh*
1078,Mahindra TUV 300 P4,P4,2018,"33,999 kms",First Owner,Diesel,9.9 Lakh*
1079,Hyundai Grand i10 1.2 Kappa Asta,1.2 Kappa Asta,2018,"41,000 kms",Second Owner,Petrol,4.8 Lakh*
1080,Hyundai i20 2015-2017 Asta 1.2,Asta 1.2,2016,"37,000 kms",First Owner,Petrol,6.4 Lakh*
1081,Toyota Corolla Altis 1.8 J,1.8 J,2009,"44,000 kms",First Owner,Petrol,4.15 Lakh*
1082,Hyundai Grand i10 Sportz,Sportz,2016,"31,000 kms",Second Owner,Petrol,4.25 Lakh*
1083,Maruti Swift ZXI,ZXI,2014,"46,000 kms",First Owner,Petrol,4.8 Lakh*
1084,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,2.8 4WD AT BSIV,2017,"45,000 kms",First Owner,Diesel,30 Lakh*
1085,Hyundai Creta 1.6 SX Automatic Diesel,1.6 SX Automatic Diesel,2015,"84,000 kms",First Owner,Diesel,9.2 Lakh*
1086,Maruti Swift Dzire Tour LXI,LXI,2014,"93,220 kms",Second Owner,Petrol,4.1 Lakh*
1087,Maruti Ciaz 1.4 Delta,1.4 Delta,2018,"38,000 kms",First Owner,Petrol,8.5 Lakh*
1088,Skoda Octavia Elegance 2.0 TDI AT,Elegance 2.0 TDI AT,2014,"50,000 kms",First Owner,Diesel,14.5 Lakh*
1089,BMW X3 xDrive30d M Sport,xDrive30d M Sport,2016,"93,515 kms",Second Owner,Diesel,30 Lakh*
1090,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2012,"39,000 kms",First Owner,Petrol,3.25 Lakh*
1091,Maruti Swift Dzire VXi,VXi,2012,"66,000 kms",First Owner,Petrol,4.25 Lakh*
1092,Maruti Swift Dzire ZDi,ZDi,2009,"38,000 kms",First Owner,Diesel,4.5 Lakh*
1093,Hyundai i20 1.4 Asta Option,1.4 Asta Option,2017,"58,000 kms",First Owner,Diesel,6.7 Lakh*
1094,Hyundai i10 Asta Sunroof AT,Asta Sunroof AT,2011,"87,200 kms",First Owner,Petrol,3.49 Lakh*
1095,Hyundai i20 Asta Option 1.4 CRDi,Asta Option 1.4 CRDi,2014,"75,200 kms",First Owner,Diesel,4.69 Lakh*
1096,Mahindra Renault Logan 1.5 DLE Diesel,1.5 DLE Diesel,2009,"1,78,587 kms",First Owner,Diesel,1 Lakh*
1097,Ford Aspire 1.5 TDCi Titanium,1.5 TDCi Titanium,2016,"1,00,200 kms",First Owner,Diesel,4.49 Lakh*
1098,Hyundai i10 Sportz AT,Sportz AT,2012,"36,500 kms",First Owner,Petrol,4.04 Lakh*
1099,Hyundai EON Magna Plus,Magna Plus,2016,"30,000 kms",First Owner,Petrol,3.35 Lakh*
1100,Hyundai Grand i10 CRDi Magna,CRDi Magna,2014,"49,000 kms",First Owner,Diesel,4.3 Lakh*
1101,Maruti Wagon R VXI BS IV,VXI BS IV,2012,"18,000 kms",First Owner,Petrol,3.5 Lakh*
1102,Maruti Esteem Lxi - BSIII,Lxi - BSIII,2006,"70,000 kms",Second Owner,Petrol,1.7 Lakh*
1103,Hyundai EON D Lite Plus,D Lite Plus,2014,"21,000 kms",First Owner,Petrol,2.5 Lakh*
1104,Volkswagen Vento 1.6 Highline,1.6 Highline,2015,"84,061 kms",First Owner,Petrol,5.5 Lakh*
1105,Maruti Wagon R VXI,VXI BS IV,2013,"47,238 kms",First Owner,Petrol,3.4 Lakh*
1106,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"60,000 kms",Second Owner,Petrol,2.55 Lakh*
1107,Mahindra XUV500 W8 2WD,W8 2WD,2013,"87,000 kms",First Owner,Diesel,8.39 Lakh*
1108,Mercedes-Benz E-Class E250 CDI Avantgrade,E250 CDI Avantgrade,2014,"18,000 kms",First Owner,Diesel,27 Lakh*
1109,Skoda Rapid 1.6 MPI AT Elegance,1.6 MPI AT Elegance,2015,"42,000 kms",First Owner,Petrol,6.3 Lakh*
1110,Mahindra Marazzo M6 Plus,M6 Plus,2021,"2,900 kms",First Owner,Diesel,15.5 Lakh*
1111,Maruti Ritz VXI,VXI,2009,"1,20,000 kms",First Owner,Petrol,2.2 Lakh*
1112,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,1.5 Ti VCT MT Trend BSIV,2015,"29,000 kms",First Owner,Petrol,6.3 Lakh*
1113,Maruti A Star AT VXI,AT VXI,2011,"66,624 kms",Second Owner,Petrol,2.3 Lakh*
1114,Toyota Innova 2.5 V Diesel 8-seater,2.5 V Diesel 8-seater,2011,"1,86,000 kms",Third Owner,Diesel,8.5 Lakh*
1115,Honda Amaze S Diesel,S Diesel,2013,"98,821 kms",First Owner,Diesel,3.5 Lakh*
1116,Maruti Celerio VXI,VXI,2015,"52,790 kms",First Owner,Petrol,3.7 Lakh*
1117,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2011,"65,000 kms",Second Owner,Petrol,2.6 Lakh*
1118,Maruti Omni MPI STD BSIV,MPI STD BSIV,2018,"1,800 kms",First Owner,Petrol,3.5 Lakh*
1119,Skoda Rapid 1.6 TDI Elegance,1.6 TDI Elegance,2012,"80,000 kms",First Owner,Diesel,4.5 Lakh*
1120,Toyota Innova 2.5 GX (Diesel) 7 Seater,2.5 GX (Diesel) 7 Seater,2014,"1,20,000 kms",First Owner,Diesel,11.5 Lakh*
1121,Nissan Micra Diesel XV,Diesel XV,2011,"65,000 kms",First Owner,Diesel,3 Lakh*
1122,Maruti Zen LX,LX,1997,"40,000 kms",First Owner,Petrol,1.25 Lakh*
1123,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2012,"44,000 kms",First Owner,Petrol,2.25 Lakh*
1124,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2.8 ZX AT BSIV,2016,"63,523 kms",First Owner,Diesel,18.3 Lakh*
1125,Renault Pulse RxZ,RxZ,2016,"98,463 kms",Second Owner,Diesel,3.1 Lakh*
1126,Ford Figo Diesel ZXI,Diesel ZXI,2013,"84,000 kms",First Owner,Diesel,2.85 Lakh*
1127,Fiat Grande Punto 1.3 Dynamic (Diesel),1.3 Dynamic (Diesel),2011,"84,200 kms",Second Owner,Diesel,2.45 Lakh*
1128,Datsun GO Plus T BSIV,T BSIV,2016,"37,000 kms",First Owner,Petrol,3.6 Lakh*
1129,Maruti Swift Vdi BSIII,Vdi BSIII,2010,"86,000 kms",First Owner,Diesel,3.29 Lakh*
1130,Maruti Swift Dzire Tour LXI,LXI,2015,"1,20,000 kms",Second Owner,Petrol,2.7 Lakh*
1131,Hyundai Verna 1.6 SX,1.6 SX,2011,"94,000 kms",First Owner,Diesel,4.6 Lakh*
1132,Hyundai Santa Fe 4x4 AT,4x4 AT,2011,"1,00,300 kms",First Owner,Diesel,4.65 Lakh*
1133,Volkswagen Vento Diesel Highline,Diesel Highline,2012,"1,29,000 kms",Second Owner,Diesel,4.35 Lakh*
1134,Hyundai Elantra 1.6 SX Option,1.6 SX Option,2015,"1,00,200 kms",First Owner,Diesel,7.35 Lakh*
1135,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Zeta DDiS 200 SH,2015,"1,00,300 kms",First Owner,Diesel,6.25 Lakh*
